Datos del club;;;;;;;;;;;Características Web;;;;;
El Club;;Dirección;;;;;Contacto;;;Web;Valoración;Tiene...;;;;
Club Ciclista Liébana;15;España;Cantabria;Comarca de Liébana;;;;;Facebook;www.ccliebana.com;Sólo contenidos;Si;Si;No;No;Redes Sociales: Facebook. Diseño web mejorable.
Club Ciclista de Montaña Los Tojos;;España;Cantabria;Laredo;;39970;;;clubmtblostojos@gmail.com;lostojosdelaredo.blogspot.com.es;Herramientas Dispersas;Si;Si;Si;No;Redes Sociales: Facebook. Diseño web bastante malo.
A.D. Valles Pasiegos / C.D. La Cueva;;España;Cantabria;La Cueva;Urb./ La  Plazuela, 3 - 2ºC;39650;676.15.42.94;Fran Pérez (Presidente);info@advallepasiegos.com / info@ciclismocastaneda.com / info@dhcantabria.com;vallepasiegos.creatuforo.com / www.ciclismocastaneda.com / teamdhCantabria.blogspot.com.es;Bien Estructurado;;;;;Es una asociación deportiva que engloba varios Clubs (DH, Trial, Coches Clásicos, MTB). No cobra cuota o eso dice. A su vez, está estructurada en tres partes, diferenciando con web propia la parte de la Escuela de Ciclismo (Club Deportivo La Cueva) y la parte de DH, del resto. La primera web es a través de foro, está bien estructurada y tiene Multimedia y Calendario si eres socio, no tiene Tracks. La segunda web es la de la escuela de ciclismo y tb está bien estructurada, tiene calendario y foro pero no tiene fotos y tracks. Tb tiene twitter (@ciclistacastaneda). Y la tercera web tb está bien estructurada y tiene Comentarios, Foro, Calendario y Multimedia pero no tracks. En las tres el diseño es mejorable.
Club Cumbrales BTT Polanco;Aprox 30;España;Cantabria;Los Corrales de Buelna;;39400;;;cumbralesbtt@gmail.com / cumbralesbtt@terra.es;cumbralesbtt.blogspot.com.es;Sólo contenidos;Si;Si;No;Si;Redes Sociales: Facebook (Cumbrales BTT), Twitter (@CumbralesBTT) y Google +. Diseño web mejorable. Tienen foro en cumbralesbtt.creatuforo.com y las fotos las tienen colgadas en picasa a través del foro. Los tracks son a través de enlaces externos a otras webs: PistasySenderos y Cantabriaenbici.
Club Mountain Bike Valle de Buelna;27;España;Cantabria;Los Corrales de Buelna;C/ Felisa Campuzano, 22;39400;;;valledebuelnamtb@hotmail.com / Formulario web.;www.valledebuelnamtb.blogspot.com.es;Sólo contenidos;Si;Si;No;No;Redes Sociales: Facebook (Tienen dos: Club Valle de Buelna MTB y Marcha MTB Valle de Buelna...éste último es sobre una marcha que organiza el club). Diseño web mejorable. Tienen foro y los tracks son a través del foro.
Valdeolea en movimiento;;España;Cantabria;Mataporquera - Valle de Valdeolea;C/ La Piedad, 1;39410;;;valdeoleaenmovimiento@valdeoleaenmovimiento.es;www.valdeoleaenmovimiento.es;Bien Estructurado;Si;Si;No;No;Redes Sociales: Facebook. Diseño web mejorable.
Pisteros MTB Cantabria;26;España;Cantabria;Muriedas;C/ Pedro Velarde, 1;39600;692.50.15.35;Fran Saiz (Móvil);pisterosmtb@gmail.com;www.pisterosmtb.com;Bien Estructurado;Si;Si;No;Si;Redes Sociales: Facebook. El enlace de las fotos no funciona bien. Tienen foro.
MTB Ramales;;España;Cantabria;Ramales de la Victoria;Barrio Cubillas, s/n;39800;607.90.20.61;;info@mountainbikeramales.org;www.mountainbikeramales.org / www.ruterosmtb.blogspot.com.es;Bien Estructurado;Si;Si;No;No;Redes Sociale: Facebook (pero no tiene actividad desde Noviembre de 2011). Tienen Foro externo a la web y a través del blog hay enlace a él. Sí que tiene enlace a Fotos pero está en construcción.
Mountain Bike Torrelavega;;España;Cantabria;Torrelavega;Pabellón Vicente Trueba;39300;;;mtbtorrelavega@hotmail.com;www.mtbtorrelavega.com;Bien Estructurado;Si;Si;Si;No;Buen Diseño, pero tienen enlaces que no tienen contenido. Atención al público en el pabellón, los viernes de 20-22 H.
Asociación MonteDobra;18;España;Cantabria;;;;;;Facebook;asociacionmontedobra.blogspot.com.es;Herramientas Dispersas;Si;Si;Si;Si;Redes Sociales: Facebook (Club Deportivo MonteDobra). Diseño web mejorable. Tienen colgado algún track.
Club Ciclista Gimpeur;;España;Cantabria;;;;;;clubciclistagimpeur@hotmail.com;clubciclistagimpeur.blogspot.com.es;Sólo contenidos;Si;Si;No;No;Diseño web mejorable.
Debagoiena Txirrindularitza Kluba (Club Cicloturista);;España;Guipuzcua;Arrasate;C/ Ignacio Zuloaga, 10 - Bajo;20500;;;debagoiena.tx.k@gmail.com;debagoienatxk.wordpress.com;Bien Estructurado;Si;Si;No;Si;Tracks a través de bikemap.net
Ormaetxea Txirrindulari Elkartea;;España;Guipuzcua;Azkoitia;Aptdo. Correos 50;20720;;;jokinormaetxea@gmail.com;www.jokinormaetxea.com;Sólo contenidos;No;No;No;Si;Redes Sociales: Facebook (Jokin Ormaetxea Txirrindulari Taldea). Diseño web deja bastante que desear. Tracks es a través de enlace externo a bikemaps.net
Club Ciclista Eibarrés;;España;Guipuzcua;Eibar;Pagaegi, 3 - Bajo;20600;Tel./Fax: 943.20.34.80;;cce@clubciclistaeibarres.org;www.clubciclistaeibarres.org;Bien Estructurado;Si;Si;Si;No;Redes Sociales: Facebook. Diseño web mejorable.
Club Ciclista Irunés / Irungo Txirrindulari Elkartea;;España;Guipuzcua;Irún;Uranzu kalea, 39 - Bajo;20304;;;info@ccirunes.com / Formulario Web;www.ccirunes.com;Bien Estructurado;Si;Si;Si;No;Redes Sociales: Facebook. Diseño web mejorable. Tiene foro. Organizan vuelta al Bidasoa junto con otros clubs.
Bera Bera R.T.;;España;Guipuzcua;San Sebastián - Donostia;Travesía Rodil, 8;20013;943.29.12.92 / Fax: 943.28.16.14;;info@berabera.com;www.berabera.com;Bien Estructurado;Si;Si;No;No;Diferentes actividades: Rugby, Baloncesto, Balonmano, Karate, Cicloturismo, Surf, Deporte Adaptado, Voleibol, Patinaje. En la web tienen diferentes enlaces pero vacíos, sin contenido.
Club Ciclista Donostiarra;;España;Guipuzcua;San Sebastián - Donostia;C/ Carquizano, 3;20001;943.27.64.47;;Formulario Web;www.clubciclistadonostiarra.com;Bien Estructurado;Si;Si;Si;No;Redes Sociales: Facebook.
Club Ciclista Martutene;;España;Guipuzcua;San Sebastián - Donostia;Casa Juanita Enea. Pº de Martutene, 70 - Bajo Dcha.;20014;;;ccmartutene@telefonica.net;www.ccmartutene.org;Bien Estructurado;No;Si;Si;No;Diseño web mejorable. 
Kalapie;;España;Guipuzcua;San Sebastián - Donostia;C/ Iparragirre, 8;20001;943.45.15.11 / 629.27.14.81;;kalapie@kalapie.org / Formulario Web;www.kalapie.org;Bien Estructurado;No;Si;Si;No;Redes Sociales: Facebook y Twitter. Es una Asociación de Ciclistas Urbanos.
Club Ciclista Burela;;España;Lugo;Burela;Aptdo. Correos 67;27880;;;Foro / Facebook;www.clubciclistaburela.com (No funciona);;;;;;Redes Sociales: Facebook y Vimeo. Foro a través de Foromtb y Tracks en Wikiloc. El enlace a web no funciona. 
Club Ciclista Foz;;España;Lugo;Foz;;27780;;;Facebook;;;;;;;Redes Sociales: Facebook. Sólo trabajan con Facebook.
Club Ciclista Correcamiños Lugo;;España;Lugo;Lugo;C/ San Roque, 22 - 24 Ent B;27002;982.25.01.38 / Fax: 982.81.62.84;;club@correcaminoslugo.com;www.correcaminoslugo.com;Bien Estructurado;Si;Si;No;Si;Redes Sociales: Facebook.
Club Ciclista Cidade de Lugo;;España;Lugo;Lugo;R/ Santiago de Meilán, 10;27296;609.59.32.78;;info@cccidadelugo.com;www.cccidadelugo.com;Bien Estructurado;No;Si;No;No;Redes Sociales: Facebook y Twitter. No actualiza contenidos en web desde 2011.
Club Ciclista Flyriders Lucus DH;;España;Lugo;Lugo;R/ Montero Ríos, s/n;27002;639.79.47.36;;flyriderslucus@flyriders.es / Formulario Web;www.flyriders.es;Bien Estructurado;No;Si;Si;No;Redes Sociales: Facebook. Diseño web mejorable.
Clube Ciclista Maceda;Aprox 40;España;Ourense;Maceda;R/ As Canteiras, 1;32700;;;Facebook;ccmaceda.blogspot.com.es / www.clubeciclistamaceda.com (no funciona);Sólo contenidos;No;Si;No;No;Redes Sociales: Facebook, Twitter y Google +. Las fotos son a través de Picassa. El blog sí funciona pero no la web. Diseño web mejorable.
Club Ciclista Valdeorras;;España;Ourense;O Barco;R/ Manuel Quiroga, 84 Baixo;32300;988.32.71.67;;info@clubciclistavaldeorras.org;www.clubciclistavaldeorras.org;Bien Estructurado;No;Si;No;No;Redes Sociales: Facebook.
Club BTT Verín;;España;Ourense;Verín;;32600;;;club@bttverin.com / bttverin@gmail.com / Formulario Web;www.bttverin.com;Bien Estructurado;No;Si;Si;Si;Redes Sociales: Facebook. Diseño web mejorable. Los Tracks son a través de Wikiloc y tienen Foro en Foromtb.com no está activo desde 2007. Tengo otros datos como dirección social y móvil pero sin confirmar.
Club Ciclista Duas Rodas;;España;Ourense;;;;619.01.99.70 / 610.75.00.33;Primer móvil: Tony / Segundo móvil: Gil;info@ccduasrodas.es / clubciclistaduasrodas@ccduasrodas.es / Formulario Web;ccduasrodas.es;Bien Estructurado;Si;Si;Si;No;Redes Sociales: Facebook y Youtube. Calendario tienen el de la federación. Foro es a través de 100foros.com junto con ciclosportgil.
Club Ciclista Meira;28;España;Lugo;Meira;;27240;699.42.34.01;Jesús;ccdemeira@gmail.com;ccmeira.blogspot.com.es;Herramientas Dispersas;Si;No;Si;Si;Redes Sociales: Facebook. Diseño web mejorable. Tracks a través de sport-tracker.com
Clube Ciclista Monforte;;España;Lugo;Monforte de Lemos;R/ Calvo Sotelo, 110;27400;;;ccm@ccmonforte.com;www.ccmonforte.com;Sólo contenidos;No;No;No;No;Redes Sociales: Facebook. Diseño web mejorable. Tiene muchos contenidos.
Club Ciclista Viveiro;;España;Lugo;Viveiro;Avda. Benito Galeerán, 22 - 3ºF;27850;982.56.27.09;;ccviveiro@gmail.com;;;;;;;Redes Sociales: Facebook. No tienen web, sólo operan con Facebook.
Peña Ciclista Gráficas Lar Viveiro;;España;Lugo;Viveiro;Apartado de Correos 128;27850;658.96.41.19 / 655.30.43.69 / 630.61.92.51;Primer móvil: José Manuel Pernas ("Chupi") / Segundo móvil: Juan / Tercer Móvil: Paco;contacto@pclar.es;www.pclar.es;Herramientas Dispersas;No;Si;Si;No;Redes Sociales: Facebook. Diseño web mejorable. Tiene Calendarios de la Federación y de años anteriores.
Club Ciclista Burunda; Aprox. 310;España;Navarra;Alasasua;C/ Erkuden,8 - 1º Izqda.;31800;;;info@clubciclistaburunda.com / Formulario web;www.clubciclistaburunda.com;Bien Estructurado;No;Si;Si;No;Diseño web horroroso. Foro sí, pero para una Ruta que organizan ellos.
Club Ciclista Lodosa;;España;Navarra;Lodosa;;31580;;Presid.: Ignacio Pérez López / Secretario: José García de Diego;info@clubciclistalodosa.es / Formulario web;clubciclistalodosa.es;Bien Estructurado;Si;Si;Si;No;Redes Sociales: Facebook.
Asociación Ciclista Aranguren;;España;Navarra;Multiva - Valle de Aranguen;;;;;aca@asociacionciclistaaranguren.com / Formulario web / Foro;www.asociacionciclistaaranguren.com;Bien Estructurado;Si;Si;Si;Si;Redes Sociales: Facebook, Twitter, Vimeo, Youtube, Picasa. Fotos a través de Picasa.
Club Ciclista Murchante;Aprox 60;España;Navarra;Murchante;Restaurante Mondete C/Mayor, 121;31521;948.83.81.24;;Info@clubciclistamurchante.com / Formulario web;clubciclistamurchante.com;Bien Estructurado;Si;Si;Si;No;Redes Sociales: Facebook y Twitter. 
Kea Kirol Taldea Club Ciclista Pamplona / Iruña;Aprox +100;España;Navarra;Pamplona;C/ Santa Engracia, 2 - Bajo;31014;Tel./Fax: 948.18.83.77;;keawebmaster@hotmail.com / Formulario web;www.keamtb.com;Bien Estructurado;Si;Si;Si;Si;Redes Sociales: Facebook y Wikiloc.
Peña Ciclista Bikestrada;;España;Pontevedra;A Estrada;;36680;;;bikestrada@bikestrada.com / Formulario web.;www.bikestrada.com;Bien Estructurado;Si;Si;Si;Si;Redes Sociales: Facebook y Youtube. Diseño web mejorable.
Club Ciclista Guardés;;España;Pontevedra;A Guarda;;36780;;;Facebook;www.ccguardes.es;Bien Estructurado;Si;Si;No;No;Redes Sociales: Facebook y Finixer. Diseño web mejorable.
Clube Ciclista Bueu;;España;Pontevedra;Bueu;Pavillón Municipal de Bueu - Avda. do Instituto s/n;36930;616.73.10.47;;clubeciclistabueu@gmail.com;clubeciclistabueu.blogspot.com.es;Herramientas Dispersas;Si;Si;No;No;Redes Sociales: Google +. Diseño web mejorable.
Club Ciclista Cultural Cambados;;España;Pontevedra;Cambados;R/ Ourense, 14;36630;609.48.92.73 / 630.90.86.29;Primer móvil: Tito Falcón / Segundo móvil: Ernesto Falcón Padín;clubciclistacambados@yahoo.es;clubciclistacambados.blogspot.com.es;Sólo contenidos;No;No;No;No;Redes Sociales: Facebook. Diseño web mejorable. 
Club Ciclista do Salnes;;España;Pontevedra;Cambados;R/ Sevilla, 27;36630;986.52.40.70 /650.72.04.07;Móvil: Eladio Oubiña Diz;ccdosalnes@hotmail.com;;;;;;;Redes Sociales: Facebook. No tiene web.
Bike ou non vai;;España;Pontevedra;Cangas;;;;;Foro;bikeononvai.foroactivo.com;;;;;;Redes Sociales: Facebook. Va todo a través del Foro y Facebook. Para contactar por mensaje privado al admin. en el foro.
Club Ciclista Cangas;;España;Pontevedra;Cangas do Morrazo;Seixo - Darbo, 61;36940;Tfno y Fax: 986.30.19.89 / 649.05.58.55;;clubciclistacangas@gmail.com;www.cccangas.com;Sólo contenidos;No;Si;No;No;Redes Sociales: Facebook. Diseño web mejorable. 
Grupo Ciclista Código Atlántico;;España;Pontevedra;Cangas do Morrazo;Rúa Choupana, 15 - Bloque 3, 1º A;36942;;Presid.: Severino Mata Villar;grupociclista@codigoatlantico.com;www.codigoatlantico.com;Sólo contenidos;No;Si;Si;No;Redes Sociales: Facebook y Google Talk.
Club Ciclista Lobeira;;España;Pontevedra;Comarca Arousa y Salnés;;;;;lobeiraclubciclista@gmail.com;clubciclistalobeira.blogspot.com.es;Herramientas Dispersas;Si;Si;No;No;Redes Sociales: Facebook y Google +. Diseño web mejorable.
Clube Ciclista Cuntis;;España;Pontevedra;Cuntis;;;;;;;;;;;;Redes Sociales: Facebook. Sólo trabajan con Facebook. Última actualización Diciembre 2013.
Club Ciclista Gondomar;;España;Pontevedra;Gondomar;;36380;986.36.04.88;;Formulario web.;clubciclistagondomar.weebly.com / www.clubciclistagondomar.org;Bien Estructurado;No;Si;Si;No;Redes Sociales: Facebook (Gondomar Clubciclista). Rutas a través de Google. No tiene dos web, es la misma, pinchas en la de extensión .org y te salta la otra.
Club Ciclista Coruxo;;España;Pontevedra;Fragoselo - Coruxo - Vigo;R/ Subida San Sebastián, 11-21;36330;616.78.20.54;;clubciclistacoruxo@hotmail.com / Formulario web;clubciclistacoruxo.es /clubciclistacoruxo.blogspot.com.es;Bien Estructurado;No;Si;No;No;Redes Sociales: Facebook. Diseño web mejorable. Horario: Sábado 16:00-19:00H. El blog tiene comentarios, pero el diseño es más malo.
Alambike - Lalín;;España;Pontevedra;Lalín;;36209;627.59.06.36 / 693.57.84.47 / 620.90.02.68 / 654.13.94.40;;alambike@alambikelalin.com / abelleira@edu.xunta.es / Formulario Web.;www.alambikelalin.com;Herramientas Dispersas;Si;Si;Si;No;Redes Sociales: Facebook, Twitter y Google +. Diseño web mejorable. Fotos con Picasa y Google +.
Club Ciclista Marín;;España;Pontevedra;Marín;Aviador Calviño s/n, Mogor;36911;657.91.44.66;;clubciclistamarin@clubciclistamarin.com / Formulario web;www.clubciclistamarin.com;Bien Estructurado;No;Si;Si;No;Redes Sociales: Facebook. Para ponerse en contacto vía postal: Aptdo. Correos Nº77 C.P. 36900 Marín
Club Ciclista Rías Baixas;;España;Pontevedra;Nigrán;Estrada Pola vIa 216 - Patos - Paxón;36403;;;Formulario web.;www.clubciclistariasbaixas.com;Bien Estructurado;No;Si;Si;No;Redes Sociales: Facebook, Twitter y Google +. 
Escuela BTT Monteferro;Aprox 18;España;Pontevedra;Monteferro - Nigrán;;;672.47.24.27 / 695.55.20.67;;escuelamonteferro@hotmail.com / javimonteferro@yahoo.es;;;;;;;Redes Sociales: Facebook. El Blog y la Web no funcionan, sólo a través de Facebook.
Club Ciclista Spol;;España;Pontevedra;O Porriño;;;986.33.00.27 / 607.56.77.77;Móvil: Horacio Barros;ccspol@hotmail.com;www.ccspol.com;Sólo contenidos;No;No;No;No;Diseño web mejorable. No tiene herramientas y no actualiza desde 2011.
Club Ciclista O Rosal;;España;Pontevedra;O Rosal;Baixos Gardería Municipal de Pías;36770;680.99.30.50;;ccorosal@gmail.com;ccorosal.blogspot.com.es;Sólo contenidos;No;Si;No;No;Redes Sociales: Google +. Diseño web mejorable.
A.D.C. Picaraña - Ponteareas;27;España;Pontevedra;Ponteareas;;36860;;;adcpicarana2003@gmail.com;www.adcpicarana.com;Bien Estructurado;No;Si;No;Si;Redes Sociales: Facebook. En la web, cada vez que pinchas en el menú cambia de lugar la situación del mismo de vertical a horizontal y viceversa. Diseño web mejorable.
Club Ciclista Ponteareas;Aprox 45;España;Pontevedra;Ponteareas;Colegio Nuestra Señora de los Remedios R/ Azorín, s/n;36860;;;ccponteareas@hotmail.com / Formulario web.;www.ponteareas.com;Sólo contenidos;No;No;No;No;Redes Sociales: Facebook y Twitter (éste sin actividad). Diseño web mejorable. Es un club para niños entre 5-16 años.
Peña Cicloturista Tea - Central Eléctrica Sestelo;;España;Pontevedra;Ponteareas;R/ Travador Xoán García de Guillade, 40;36860;986.66.15.10;;tea@pctea-sestelo.com / Facebook;www.pctea-sestelo.com (no activa);;;;;;Redes Sociales: Facebook (Peña Cicloturista Tea).
Portela MTB;;España;Pontevedra;Portela;;;658.27.10.14;;portelamtb@gmail.com;portelabikers.blogspot.com.es;Bien Estructurado;Si;Si;No;Si;Redes Sociales: Facebook. Fotos a través de Picasa.
Club Ciclista Aragonta;;España;Pontevedra;Salceda de Caselas;;36470;689.39.00.39 / 605.94.56.96;;ccaragonta@yahoo.es;clubciclistaaragonta.blogspot.com.es;Sólo contenidos;Si;Si;No;No;Diseño  web mejorable.
P.C. BiciOsos - Rías Baixas;Aprox 31;España;Pontevedra;Tuy - Vigo;;36700;;;marcha@biciosos.es;www.biciosos.es;Sólo contenidos;No;Si;No;No;Redes Sociales: Facebook (biciosos.riasbaixas)  y Finixer ( vienen datos de dirección aquí pero no los tengo confirmados). Diseño web mejorable.
P.C. Corredoira Mos;;España;Pontevedra;Beade - Vigo;R/ Saa do Monte,5;36312;986.41.71.73;;PENACORREDOIRA@telefonica.net;penacorredoira.blogspot.com.es;Herramientas Dispersas;Si;Si;No;No;Redes Sociales: Facebook y Twitter. Diseño web mejorable. Hay otro email para cosas relacionadas con el Blog (nicolas.morales.pereira2@gmail.com).
Miñor Bike (Os Bravos);;España;Pontevedra;Val Miñor;;;670.54.46.58 / 677.57.21.32;Primer móvil: José Carlos / Segundo móvil: Cesar;minhorbike@gmail.com;minhorbike.blogspot.com.es;Herramientas Dispersas;Si;Si;No;No;Redes Sociales: Facebook. Diseño web mejorable. Los números de teléfono son sólo para salir de ruta con ellos. El contacto mejor a través de email.
Club Ciclista Bici Verde;42;España;Pontevedra;Vigo;Avda. de la Florida, 63 - 3ºB;36210;610.97.06.99;;bici_verde@hotmail.com;www.ccbiciverde.com;Bien Estructurado;No;Si;No;No;Redes Sociales: Facebook. Diseño web mejorable.
Club Ciclista Vigués;;España;Pontevedra;Vigo;R/ Aragón, 236 - 1ºC;36207;986.37.96.81;;info@ccvigues.com;www.ccvigues.com;Bien Estructurado;No;Si;No;No;Redes Sociales: Facebook. Diseño web mejorable. 
Club Ciclista Teis;;España;Pontevedra;Vigo;R/ Doctor Corbal, 19 Baixo;36207;619.39.32.69;;club_ciclista_teis@hotmail.com;www.clubciclistateis.org;Sólo contenidos;No;Si;Si;No;Redes Sociales: Facebook. Diseño web mejorable. Fotos a través de Picasa. Es también escuela de ciclismo y tiene la Sede Social en Cafetería Luces de la Guía.
Club Ciclista Traviesas - Vigo;40;España;Pontevedra;Vigo;;;;;cctraviesas@hotmail.com;www.clubciclistatraviesas.es;Mediocre;No;Si;Si;No;Redes Sociales: Facebook. Diseño web mejorable.
C.C. Val do Ulló;;España;Pontevedra;Vilaboa;R/ Paredes, 100;36141;986.70.84.43 / 629.42.05.43;;ccvaldoullo@lyc.net / clubciclistavaldoullo@gmail.com;www.lyc.net/ccvaldoullo;Bien Estructurado;Si;Si;No;No;Redes Sociales: Facebook. Diseño web mejorable. El acceso al Foro es un poco complicado.
Club BTT Vilagarcía;;España;Pontevedra;Vilagarcía de Arousa;R/ Arzobispo Andrade, 2 - 3 Baixo;36600;986.50.16.44 / Fax: 986.50.16.44;;;clubbttvilagarcía.blogspot.com.es;Sólo contenidos;Si;No;No;No;Redes Sociales: Facebook ( no actualiza desde marzo 2013) y Google +. El Blog no actualiza desde 2009.
Estévez Seven Club Ciclista Xiabre;Aprox 20;España;Pontevedra;Vilagarcía de Arousa;;36600;986.56.51.05;;info@estevezseven.com;www.ccxiabre.com;Herramientas Dispersas;No;Si;Si;No;Diseño web mejorable.
A.D. Punta Fondon;;España;Pontevedra;;;;610.34.73.99 / Fax: 986.32.71.40;Javi Vaz;puntafondon@gmail.com;puntafondon.host56.com;Bien Estructurado;Si;No;No;No;Redes Sociales: Facebook. Comentarios en Blog. No actualiza contenido en web desde 2012. En blog desde 2013. Salta un banner cada vez que cambias de enlace en la web.
Club Ciclista de la Fuente;;España;Pontevedra;;;;;;Formulario Web.;www.ccdelafuente.com;Bien Estructurado;No;Si;Si;No;Redes Sociales: Facebook. Club de reciente creación (2011). Sede compartida entre Tui y Porriño.
Club Ciclista Farto;;España;;;;;;;Facebook;;;;;;;Redes Sociales: Facebook. Contacto a través de Facebook por mensaje privado. Son Gallegos.
Os do Monte Bravo - BTT Team;;España;;;;;674.83.78.73;;info@osdomontebravo.com / Facebook.;osdomontebravobtt.blogspot.com.es;Herramientas Dispersas;No;Si;Si;Si;Redes Sociales: Facebook (BTT Os do Monte Bravo), Google +  y Youtube. Son Gallegos.
P.C. Umia;;España;;;;;;;Foro;www.foromtb.com/threads/peña-ciclista-umia.113969/;;;;;;Sólo funcionan con el foro. Tienen canal en Youtube pero no suben nada desde 2007. Son Gallegos.
Akerrak MTB;;España;;;;;;;akerrakmtb@gmail.com;;;;;;;Redes Sociales: Facebook. Toda actividad la realizan a través del Facebook, antes tenían web que ya no está activa (www.akerrakmtb.tk). Son vascos.
Club Ciclista Bidón;;España;;;;;;;Facebook;www.clubciclistabidon.com;Sólo contenidos;No;No;Si;No;Redes Sociales: Facebook (Bidasoa Ciclismo Txirrindulari). Diseño web mejorable. Son vascos.
Elkar Kirolak;;España;;;;;607.40.03.17;Presid.: Eduardo Aginako / Responsable general Javier García;info@elkarkirolak.com;www.elkarkirolak.com;Bien Estructurado;No;Si;No;No;Redes Sociales: Twitter. Es una Escuela de Ciclismo. Contacto del Dpto técnico y de diseño: David@elkarkirolak.com , móvil: 627.91.99.97 .Son vascos.
Sociedad Ciclista Amorebieta;;España;Vizcaya;Amorebieta;Txiki Otaegi, 11 - Aptdo. 99;48340;Tel./ Fax: 94.673.31.88;;sociedad@scamorebieta.com / Formulario web;www.scamorebieta.com;Bien Estructurado;No;Si;No;No;Redes Sociales: Facebook generado automáticamente y sin utilizar. Diseño web mejorable.
Ciclismo Seguros Bilbao;;España;Vizcaya;Andraka;Ausokone, 12 - 8º B;48620;618.58.13.98;Presid.: Aitor Eiguren Makoaga;medios@ciclismosb.com / Formulario web;www.ciclismosb.com;Bien Estructurado;No;Si;Si;No;Redes Sociales: Twitter. Es un equipo profesional . También tienen tienda. Otro nombre: Andraka S.C.
Busturia Txirrindulari Taldea;;España;Vizcaya;Axpe de Busturia;;48350;;;Facebook;;;;;;;Redes Sociales: Facebook. Toda actividad la realizan a través del Facebook.
Ariz Txirrindulari Elkartea;;España;Vizcaya;Basauri;;48970;;;mendikleta@gmail.com;www.arizte.es / arizmendikletataldea.blogspot.com.es;Bien Estructurado;;;;;Club con Dos secciones, montaña y carretera. Tienen web general para ambas disciplinas. Diseño web mejorable. Para montaña trabajan a través del foro y para carretera a través del Facebook (arizte). El Blog podría decirse que tiene herramientas dispersas, diseño web mejorable y dispone de comentarios, fotos, calendario y tracks.
C.C. Bidebieta T.E.;31;España;Vizcaya;Basauri;;48970;;;admin@clubciclistabidebieta.com / Formulario web;www.clubciclistabidebieta.com;Bien Estructurado;Si;Si;Si;No;Tienen foro. Diseño web mejorable.
Berriz Bizikletari Elkartea MTB;;España;Vizcaya;Berriz;Aptdo. de Correos nº 3;48240;660.71.21.38;;info@berrizbizikletarielkartea.com / Formulario web;www.berrizbizikletarielkartea.com;Bien Estructurado;No;Si;No;No;Redes Sociales: Facebook. Diseño web mejorable. La web está en vasco.
Abando Heros G.D.;;España;Vizcaya;Bilbao;Zumaia, 33 ;48007;668.17.00.03;Presid.: Santiago Izkara García;txutxiizkara@gmail.com;;;;;;;Año de creación 1996.
Miribilla B.T.T.;Aprox 26;España;Vizcaya;Bilbao;;;629.08.00.96;Alex;miribillabtt@gmail.com;miribillabtt.blogspot.com.es / www.miribillabtt.com;Sólo contenidos;Si;Si;Si;No;Redes Sociales: Facebook y Google +. Podría catalogarse como Solo Contenido/ Herramientas Dispersas. Diseño Web Mejorable. 
Txirrindulari Taldea/ Grupo Ciclista Bar El Funi;Aprox 50;España;Vizcaya;Bilbao;C/ Mujica y Butrón, 8 - Bar El Funi;48007;944.46.31.30;;ciclofunistas@gmail.com;sites.google.com/site/amigoscicloturistasbarelfuni/home;Herramientas Dispersas;Si;Si;Si;No;Diseño web mejorable. Tiene Foro.
Sociedad Ciclista Bilbaína;;España;Vizcaya;Bilbao;C/ Colón de LLarreátegui, 5 - 1º Izquda.;48001;Tel./Fax: 94.423.81.11;;correo@scbilbaina.com;www.scbilbaina.com;Bien Estructurado;No;Si;Si;No;Redes Sociales: Facebook. Diseño web mejorable. Horario de oficina: Lunes 19:00-21:00H.
Durango MTB;;España;Vizcaya;Durango;;48200;;;Formulario Web.;www.durangomtb.com;Bien Estructurado;Si;Si;Si;Si;Redes Sociales: Facebook, Twitter y Youtube. Diseño Web Mejorable. Tracks a través de Wikiloc. El club se llama Club Ciclista Sapubike. Se reunen los jueves en Sociedad Zingilipurka de Durango.
Erandioko T. E.;;España;Vizcaya;Erandio;José Luis Goyoaga;48950;;;Blog / Facebook;erandiokote.wordpress.com / www.respetanosvivos.es;Sólo contenidos;Si;No;No;No;Redes Sociales: Facebook (Erandio vive en bici)
Club Abanto Zierbana Muskiz S.C.;;España;Vizcaya;Gallarta;Avda. El Minero, 15 - Bajo - Aptdo. Correos 66;48500;696.46.22.67;Presid.: Luis Fernando Vijiola;scabantozm@hotmail.com;;;;;;;Año de creación 1990.
Mendibike Elkartea - Gorliz;;España;Vizcaya;Gorliz;;48630;;;mendibike@mendibike.net / Web / Foro;www.mendibike.net;Bien Estructurado;Si;Si;Si;Si;Redes Sociales: Facebook. Fotos a través de Picasa. Tracks a través de Wikiloc.
Club Cicloturista;Aprox 65;España;Vizcaya;Gordexola;Urb. La Llanada de Ibarra, 31;48192;657.79.79.79 / Fax: 94.610.20.62;Pedro Basarrate;ccgordexola@gmail.com / pedro@urbegi.com;;;;;;;No tienen web.
Iurreta Txirrindulari Elkartea;243;España;Vizcaya;Iurreta;Zubiaurre,2 - Bajo. Apartado de Correos 26;48215;Tel./Fax: 94.620.19.30;;iurreta.idazkari@gmail.com / Formulario Web;www.iurretatxirrindulari.com;Bien Estructurado;No;Si;Si;No;Redes Sociales: Facebook. Diseño web mejorable. Web en castellano y vasco. Se reunen Lunes  a las 20:00H.
